Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
616;NH24;2252;164;BXD98;CD;F;531;3;4881;1404;1621;5548;42351;28692;10187;5865;9902;1364;12584;333525;12544;45519;3746;36916;8291;1391;601;41663;68443;5751;9518;4850;93366;286303;3791;16046;4044;8320;26655;6271;66663;4494;78825;193988;5862;3693;9524;6419;262630;23811;10997;2915;43440;288802;2253;1212560;944;2150;1482;6376;21171;903;130372;3115;6081;30528;3484;8962;1036;1959;22055;2384;10554;1987;600950;88724;44039;179448;14557;7062;8060;1419;10788;2643;5526;192115;9855;2619;7104;7231;3515;174994;3578;3822;2092;4646;10019;2207;5886;19109;12762;906;6017;2261;3321;3301;3134;1234;10234;58479;3789;7046;33728;669;3549;113464;13182;4240;590445;53880;4699;1133;176395;5521;2963;3590;6985;13059;2227;11165;53680;1845;4751;8647;7732;23593;1646;5483;882172;54733;3651;1322;194159;69221;22633;1860;36724;1630;3517;3013;1557;1019;7457;24411;21706;10641;21945;37430;8333;3026;3570;617;46988;10259;1724;268138;2270;2510;3438;1306;1415;4996;85103;816;1514;2062;9717;8469;6675;1622;3176;3543;4978;4500;2790;9275;3430;3466;10748;2132;146481;1132;4106;2786;2693;1039;865;132298;17303;3473;9286;5870;12626;6590;2810;25490;3271;3843;6930;1083;40730;1507;4411;1659;4495;1966;1483;18982;3335;4027;3724;95700;1627;4899;121487;3604;3332;6080;1825;3624;2028;11683;4456;4338089;8109;1401;105910;6840;6822;2569;25405;8191;27666;17692;713;732307;6528529;9109;2069775;55456;4205;6835;15136;3062;938057;3779;137148;56189;14592;23710;12621;1110;5568;37670;900;2328;1073;2410;482611;3765;111119;54894;4518;7084;2388;1670;877553;1045;104779;4253;2729;1583;3564;6421;7547;5588;1215;3195;8557;3807;6533;7327;39148;1313;21091;10608;1111;4643;2327;1599;10195;3608;1125;2543;1933;219904;1974;3291;1944;11881;6069;2256;1164;5230;2392;2345;1431;2227;30356554;52090;849;52344;29205;10447;1946;1302;655;137650;6181;723;3339;10699;586;1416;3913;9084;21814;2164;1969;2245;10005;5753;4909;6961;1824;927;1278;170912;271639;702212;113342;39350;1316939;1122091;48152;22896;3061;170138;27470;1998;5833;1854;64845;56451;4927;2821;49126;49126;3022;1461;9736;2076;5489;3027
617;NH24;2286;137.5;B6D2F1;HF;F;547;3;1063;1347;1419;5618;50562;34888;17717;6280;9932;911;13496;28394;19186;51455;3486;38310;10014;2018;575;45787;99250;6574;7115;4268;93735;404591;7399;20150;4780;6923;26467;7216;82855;5376;84995;226265;3390;3147;6860;4395;254486;28898;12011;2203;77127;390749;2221;1915660;2112;3454;1238;7360;25005;668;127744;2812;5730;41987;3327;7477;700;2214;10644;951;18497;1711;636156;108931;47609;197623;18152;7085;7319;2118;11362;2748;6032;205760;8991;2105;7877;1695;4499;298103;4438;3420;2036;4384;12915;3895;6404;19555;6518;483;6207;2368;4526;1572;2262;1048;4935;68210;3288;8011;15388;912;4697;97570;15635;4442;1558362;114042;6307;1440;225968;4563;2920;3154;6052;12280;2563;6764;76372;2197;4820;7478;3391;24298;1407;6210;1349540;5429;2449;868;253885;52943;22776;1807;37467;1083;3776;3450;1513;873;13146;30861;15074;8316;43876;47802;10160;3047;2884;996;69822;11281;1478;374776;3405;2269;4823;5365;994;2711;80911;575;751;2172;7792;8311;5864;1297;5633;3181;5795;3878;2863;10848;2056;2859;9109;1901;421070;681;3281;2358;2207;622;646;163864;14604;2837;14944;5327;12879;5982;2245;19525;4013;2545;4279;941;29438;1526;4727;1130;4557;2657;1066;19804;3407;2457;3129;71725;1032;7040;156488;2813;2621;5523;1456;2763;2363;5877;3758;2372035;22542;1399;124226;5058;5162;1892;39684;7895;15557;11745;198;181358;2214209;2818;1584059;62346;4685;5158;19846;3397;679955;2641;158295;32565;9673;19153;15589;1053;4624;23759;585;1086;752;1879;403408;2346;57542;50697;2955;8415;2346;2432;707462;735;53699;3268;1140;734;1982;5416;9715;2936;912;3699;15453;3173;3469;5204;36170;767;12504;8558;865;5333;1830;1699;4484;2634;1169;1103;1964;191003;1853;2335;2545;5272;2890;1318;1686;5630;2625;1989;875;1818;29073670;37432;733;35212;16453;8577;1754;970;986;175140;3163;649;1751;13629;493;1168;2565;2162;13033;2178;1566;1114;4921;24010;5014;2940;1399;827;1361;54958;76423;306211;90219;24585;868589;898200;17125;24961;3747;90161;27957;1680;5203;1991;67459;60125;5545;2739;33427;33427;2409;2068;8054;3000;4294;2631
618;NH24;2286;137.5;B6D2F1;HF;F;547;3;918;1050;1274;5626;49256;36158;17067;6982;10062;991;14670;21855;17403;51228;3196;41093;10200;2625;1026;46767;101844;6575;7242;4881;97788;414618;7156;19731;4143;7140;28000;7591;83205;5142;85733;226166;3942;3642;7314;4860;263184;32055;11291;2837;75944;394338;2184;1977033;2511;3517;1399;8373;25251;828;131804;3055;5500;44741;3050;7762;617;1801;10379;969;20671;1845;655879;113099;48722;196680;17665;7454;6844;2973;11685;2864;6079;215014;10088;2386;8998;1288;4155;312593;4851;3406;2164;4445;12623;3441;5869;20391;6782;750;6173;2936;4369;1615;2053;1081;5031;74136;3684;8327;16765;683;5979;99945;16022;4156;1583044;115200;6376;1465;237087;5055;2772;3611;6029;12610;2625;7910;78852;1959;4783;7270;3135;24949;1445;6311;1375641;4192;2951;1177;262857;54846;25483;1897;40222;1282;3338;3440;1648;1167;13033;31259;14302;8797;44707;45910;10144;2938;2392;688;75282;11371;1891;389677;3705;2373;4346;5469;1010;3148;80867;469;794;1898;7500;9399;5364;1119;5769;3457;6406;4085;12999;10607;2009;3271;9174;2170;437589;937;3220;2123;1916;675;763;158777;14753;2681;16137;6014;12686;5512;2328;20374;5383;2713;4831;1140;30143;1749;4825;1540;4360;3220;1381;19232;3464;2439;3303;70887;1149;7063;158180;3142;3296;5145;1467;3124;2367;5593;4158;2323640;23968;1460;128327;4562;5296;2293;42228;8753;15001;11017;515;167435;2075961;2779;1592671;63610;5174;5156;19922;3282;667466;2901;159974;30302;9607;18980;15030;794;4554;24491;371;1249;930;1701;386282;1853;56834;48659;2784;7358;2608;2653;714104;655;52552;3578;1186;1077;2504;4916;9828;2829;939;3978;15821;2745;3294;5514;37731;626;11693;8930;767;6336;2086;2177;3819;2993;1085;1090;1881;188758;2517;2711;2021;5528;2542;1392;1377;4808;2574;1876;1079;1451;29040768;38734;810;34467;15135;8669;2068;960;961;175253;2892;593;1847;13068;499;1229;2521;2211;13002;2644;1328;1645;4749;23769;5747;3111;1284;939;1234;57183;76307;313621;95154;23649;886360;910627;18010;25349;3645;87894;27708;1786;5426;2138;66028;61222;5393;2850;33552;33552;2701;2441;7909;3021;4857;2265
619;NH24;1866;110;BXD77;HF;F;511;3;976;1053;1057;7733;60961;35361;24937;5882;14809;1195;17689;14204;16744;67597;4032;43284;14014;2932;1660;66495;86261;7695;8470;5774;117504;277371;4785;24491;4377;9959;46428;8197;83602;5127;166488;359739;4667;3930;9511;8078;393530;25735;18321;3407;73507;308550;2126;2346896;3234;4872;1302;9278;28758;1013;147277;3411;6095;48342;4244;11915;889;2810;8444;1762;34545;3389;1345256;104648;51674;239415;21664;11976;11521;2804;11075;3716;6119;597459;25561;2247;13345;1466;4227;282616;4261;3985;3572;4949;15049;5535;11903;30447;7932;642;8078;2592;5757;3168;2877;934;4655;95755;3289;9739;16501;815;9521;131046;22138;5441;699688;60817;5767;1687;220652;4239;3078;5516;8075;23717;2599;6294;154498;2415;4720;18449;5043;136667;2045;11966;1263384;3637;3077;1280;308739;85467;32271;2297;69883;1801;4959;5142;1580;1099;2957;23577;42504;12032;27585;9760;11938;4254;3733;1003;62827;13198;2114;882326;4693;2806;7674;2420;1295;3714;186227;880;2145;2606;16269;11187;7590;4131;8350;4164;5838;4777;4211;11160;3528;4955;22450;2444;244134;1900;6749;3858;6681;1368;652;165431;22885;4015;20784;8357;23134;10751;2611;55225;3793;4109;7123;2902;65038;2584;6278;1536;6337;2452;1388;21055;4516;1654;5183;189259;1196;16686;237436;5487;2631;12734;1717;3451;6694;8270;4738;4833984;18106;2909;83321;7314;6824;2819;48777;51048;38349;19080;670;479900;6374288;5708;3297399;30743;4753;7365;20213;5995;1105950;2980;143902;61486;12306;39574;15217;1312;4813;26808;511;2529;988;4386;629243;3177;83572;61683;6696;13687;1877;2067;867240;737;103799;3169;1473;1450;2975;9903;11998;3037;968;8816;7884;3901;7335;5608;15347;1818;40453;13921;913;7896;2802;3015;9301;2080;2184;1280;2465;76328;4947;3618;2710;9546;2399;2511;1788;3878;3831;2107;1514;1432;23904758;5842;539;33739;11596;9306;2044;852;883;106724;3369;631;2229;3657;674;1758;2557;4137;42554;1755;1315;1738;6272;21823;4659;3621;1272;726;1609;32624;58759;199247;66012;18035;447637;490883;10196;16748;3666;60266;20045;2946;4189;2206;53658;57226;7084;3152;27378;27378;2371;2870;7290;3733;4592;2898
620;NH24;1866;110;BXD77;HF;F;511;3;994;1054;1207;8715;62442;32753;23677;6551;14464;1253;17152;13791;16327;68442;4059;43284;14119;2790;1193;66654;80838;7397;9827;5512;119661;273392;5095;26993;4708;9284;49440;8076;80121;4822;169673;350383;4120;4930;8068;8227;401785;27934;18466;2737;73098;311177;2331;2373668;3270;5130;1772;9519;28018;913;148424;3090;6917;46846;4937;12371;1067;2829;8504;1783;33932;2989;1348072;112056;53714;231437;22342;12358;11977;2553;11863;3633;6139;595790;25902;2205;13595;1109;4780;286428;3753;4197;3362;4735;16404;5363;10328;32047;8206;830;7562;2651;5973;3506;3183;1172;5607;97970;3496;9796;17890;927;9900;134983;21664;6468;691376;58195;6034;2483;216518;4457;2930;5389;8731;23811;3033;5747;157080;2790;4497;20790;5795;133478;1797;12695;1179793;2909;3147;1362;306749;86544;35559;1967;66679;1336;5774;5925;1866;1249;2987;21420;44972;11204;28340;10106;11248;3828;3726;1058;64121;13139;2083;866679;5324;3019;7350;2592;1469;4609;170804;892;1937;3458;17116;10312;7439;3911;7923;3572;5827;3800;20442;9704;3282;4681;21336;2600;243902;1666;7096;3490;7281;1226;712;168896;22782;4232;20837;7708;23278;11450;2618;55135;3697;3849;6624;2824;62096;2343;6297;1642;6133;2598;1354;21572;4768;1771;5745;179316;1458;15610;235668;5285;2445;12353;1596;3160;6640;8339;4864;4588552;16934;3277;79740;7248;6436;3211;47474;52478;36275;17827;553;438793;5761936;6571;3202371;29635;4768;6851;19704;6106;998005;3651;142147;57576;11985;38104;16515;1092;4805;26299;625;2702;878;3650;559458;3247;76565;55860;5667;13317;1842;1986;828213;609;99991;2714;1367;1380;2630;8841;11321;3511;911;8754;7456;3413;6386;4455;13682;1836;40891;13908;876;8854;2859;2849;9353;2069;1943;1368;2226;73000;4557;3891;2924;8508;2173;3032;1531;3577;3878;1880;1122;1548;23615092;5714;804;31667;10144;9054;2144;913;904;100587;3113;593;2495;3645;763;1650;2223;3157;31129;1550;1728;1563;5410;21368;4265;3119;1178;887;1700;31910;59044;191251;61495;17872;444885;469595;10176;14705;3453;52981;19393;2790;3927;2137;49144;50730;6510;2769;23896;23896;2685;2817;6448;3797;4472;2483
621;NH24;2154;411;BXD43;CD;F;381;2;14364;1417;1152;5767;64448;25743;17637;7392;16669;1507;15275;14136;15138;61150;3801;42619;13299;2246;1033;51982;76896;7460;9219;7991;109031;260464;4027;24316;4382;10028;34202;6942;112999;5031;185375;313598;7138;4575;7759;7251;318191;25952;12520;2811;96222;457124;2552;1626673;1877;3803;1691;7628;21898;676;144995;4505;6359;49014;3609;7692;726;3916;12099;6953;15077;1895;1518437;114288;50899;228738;28037;12406;6989;1572;16631;4110;6441;305494;13674;4645;9541;1491;5852;353723;4105;5227;3094;6334;15441;3058;7807;22806;8753;864;7436;2127;4694;3429;3104;5143;5535;131794;3866;9335;31759;944;4120;113919;15402;7461;1774526;120498;8480;1895;247369;3912;7232;3850;8096;15255;2482;11204;25634;2672;7133;9340;7999;9335;1660;3838;383677;2556;3416;1152;366404;58758;28041;3077;61450;2648;4632;4302;1756;811;8002;64526;22962;10649;58302;33771;12220;4054;3219;1067;60460;14580;2857;390245;4105;2924;7429;1549;2178;7333;70310;650;1498;1926;16594;10538;7423;1055;5793;4781;8790;5685;3304;26665;4359;4030;13136;2534;157416;1003;4641;3068;3888;904;632;260641;17221;4642;21688;8949;35038;13267;2310;31517;5046;4847;3166;1386;53343;2065;7239;1578;4601;1814;2644;18377;3933;2428;4946;106619;1625;5338;222814;2904;11953;5471;2350;4949;3198;13502;4998;4783726;13425;1403;116947;7122;7894;3112;35789;14383;42057;22832;610;1377451;9494694;6870;1898694;67018;5469;8064;21615;5733;1284143;3331;517152;56906;17959;21520;16817;1189;7059;34947;860;1418;1009;1783;942567;3260;156766;56714;3438;6871;1619;2553;1494961;994;111960;3604;1563;1366;2056;10954;12537;5130;1034;5424;11197;3248;5088;9748;41331;1167;47333;7706;1133;5905;2005;2365;4257;2014;1566;1637;3378;246096;2687;4120;2655;8392;3794;1498;1781;1859;2492;2322;1820;1527;11070347;2298;693;33395;12574;5851;2126;556;485;107629;2331;610;2290;1522;758;2063;2180;10905;12905;5585;1429;2152;11176;187913;6464;11460;2372;1431;1414;257040;445080;753949;116849;37048;1683147;1386731;63337;35639;4275;141533;41102;2548;9547;2137;98776;94318;7253;5552;49595;49595;3601;2765;14118;2308;6522;4393
622;NH24;2154;411;BXD43;CD;F;381;2;14174;1132;1183;5431;59974;25612;17501;6960;16957;1698;17911;13801;14824;63660;3795;39209;12766;1581;805;49317;72783;8626;9157;8334;110375;249536;4443;26310;4243;10657;37209;7665;111426;4576;177252;306775;7615;3950;8356;6956;310482;26603;11995;2539;93437;444796;2339;1634267;1745;3431;1622;6871;21986;817;144544;3635;6157;48697;3917;7507;798;4179;13178;7242;14946;2249;1504818;119384;49883;220577;28789;13378;6925;1542;15595;3467;6290;295750;13040;4620;10100;1193;5778;345857;3931;4732;2949;6162;15485;2641;7323;24325;8050;945;7454;2584;4217;3470;3538;5792;5219;128924;3411;8369;30751;819;3969;110871;13947;7582;1747196;115764;9202;1888;241103;4238;7438;3630;7047;15363;2804;11523;25139;2411;7606;9484;7776;7362;1855;4394;372989;2194;4078;1259;366117;54448;26604;3215;61459;3373;4766;3893;1524;981;7941;63255;21536;11249;58662;34970;12278;3875;2838;926;59720;13536;2854;369768;3710;2949;6997;1618;2271;7832;66405;691;1337;2111;17148;10983;7438;913;4932;5355;9190;5186;4539;27047;4619;4109;11557;2340;154657;931;5342;2868;4437;789;701;278292;16525;4485;22530;9371;34832;13002;2287;30562;4914;5477;3217;976;50667;2160;7266;1446;4765;2274;2155;18504;4211;2376;4763;111690;1805;6111;221371;3795;6617;5334;2112;5112;2763;14741;5073;5571310;13087;1349;113719;7118;8462;2556;31815;14055;44669;23376;724;1588272;11236623;6724;2066601;65112;5701;8400;20289;5490;1569290;3832;485800;67254;19715;22763;17089;1233;7925;34612;881;1227;744;1755;1160982;3849;190952;67002;4252;7182;1653;2894;1451741;1299;108893;3798;1547;1354;3087;13559;11222;5424;1088;5199;11232;3934;5786;10825;42764;1085;44693;7217;1089;5372;2165;2737;5097;2145;1528;1521;2551;240715;2535;4316;2891;9839;4063;1620;1803;2455;2300;2182;1692;1570;10800880;1846;587;41006;13065;6790;1751;772;656;103175;2566;706;2443;1895;628;2101;1977;13821;14549;7115;1469;2551;13040;183049;7565;14389;2714;1625;1573;315853;536281;903539;135284;43074;2084575;1668356;80424;41862;4586;169830;46832;2641;11855;2027;113221;108635;6975;6140;56208;56208;4375;2757;14725;2227;6689;4230
623;NH24;1585;125;C57BL/6J;CD;M;359;2;7190;1588;1311;7795;30024;14946;12524;7027;8632;1384;9548;12725;16541;33220;4863;53873;7656;2021;640;57652;35311;8183;10083;4373;89906;116548;3183;14637;6553;6811;28500;7205;45260;5882;72978;218272;5173;4809;6223;4999;278011;29725;8688;3018;30079;134795;2189;971392;736;1846;1360;7959;15613;682;194222;3870;7343;38786;5164;10204;736;1804;13494;2714;15473;1955;526714;70646;64665;86317;18072;7020;6976;3412;9015;4422;7048;176089;8941;2902;6694;1272;2837;141223;3978;5523;2341;4846;9668;2732;14144;30386;8816;906;6680;2516;6803;2275;3066;1753;6947;67834;3192;12475;19248;805;4662;89086;37293;6878;458844;37828;4724;1076;115579;3503;3558;3542;4775;18718;2222;7722;24417;2050;4317;19090;5763;11943;1514;5951;454022;3667;4019;1683;176806;56824;41789;2510;29258;1590;5571;8296;1489;1261;6208;29137;34052;8242;25237;25566;8425;2117;2290;813;54458;5947;2122;193541;4827;2331;6270;1442;1365;4299;124936;769;1801;2452;14843;6490;7191;2042;3007;4390;4378;4688;63201;8121;2586;4360;57907;1752;68886;1383;5159;2418;3853;1213;782;234907;13298;4237;7115;5985;17023;5628;1852;99954;3684;4757;3635;1735;23728;1966;3506;1314;3652;1611;1120;21635;5779;2036;4921;304940;1603;8378;98552;5071;3454;7016;2169;3021;1915;9285;3996;3456201;8622;1414;64809;6376;2428;2230;17634;10435;28076;17150;654;309048;3031771;6383;2105040;21576;2841;5440;7950;2179;475876;2835;89190;36431;9414;28849;7870;782;5093;18231;592;1309;965;2012;274606;2422;49259;26795;4583;12018;1347;1597;377766;583;48784;2565;1385;1412;2333;4158;5208;2606;1103;3932;6521;4886;3735;3964;18234;898;15609;6010;816;2818;3079;2723;1655;1768;1043;1224;1506;73135;2787;1675;2925;6138;1335;2859;1424;2192;2049;1274;943;1177;17517074;3622;421;11598;11500;6281;2323;520;494;61172;2051;313;1594;2180;334;717;1987;3405;9367;1587;785;1540;4113;31606;2956;2996;927;609;1812;40027;67970;235845;53770;10926;274536;391639;8845;13178;2196;94468;16904;2011;4041;1146;54906;48373;2968;3234;35685;35685;2118;1667;7400;1316;4835;2588
624;NH24;1585;125;C57BL/6J;CD;M;359;2;13703;1767;1511;7810;39531;24505;28786;6659;12520;1872;8908;15142;13991;30396;4631;44989;11596;2588;1011;76264;32880;9555;12870;7614;110869;198224;7525;23681;5304;9299;24665;6699;51283;5461;132840;354802;6220;4850;8678;6453;346535;31080;14550;4729;54478;169645;2809;681521;508;1664;1727;8278;15630;810;157556;5186;9687;42174;4917;13647;1011;2948;20417;2432;7617;2087;1055018;109090;56555;132841;23012;11114;8075;3125;14657;3627;7311;274989;12558;3102;8214;1803;4692;290974;9570;5431;3230;8519;13852;3102;17572;37609;13416;1268;6143;2612;8500;2726;4180;2289;7653;86954;4150;11453;22699;1077;6432;119887;32716;8182;796261;57608;6112;1549;250760;4031;5747;5821;6343;30472;2119;14238;24180;3053;7098;28233;12699;10484;2649;14970;233390;3232;3116;1166;296643;75305;42454;2547;47198;1687;7286;15544;1648;1760;5215;60720;62373;14336;39042;37789;10334;3501;3463;997;50912;9148;2845;324083;5315;3018;11655;1957;1836;5717;248162;675;3482;3324;23024;11338;7610;2581;2883;4829;7086;4707;60062;13518;3826;5551;131688;2871;87892;2080;9408;3405;6518;1454;567;114329;19426;6849;7122;7350;21136;6819;3686;231585;6466;5739;4870;2691;40991;2570;5765;1457;4662;1954;1256;20206;6819;3652;8230;581140;2387;15218;89384;8172;3767;12304;3284;4204;8076;17904;4766;3828407;11778;1686;113933;8029;3758;3517;15175;17359;52482;26899;843;266933;2525465;8114;1970717;31433;4455;8939;11722;3145;451476;5494;153527;56701;10071;33546;11565;1579;7176;38003;684;2718;980;2877;267005;4055;50431;26902;8394;14270;1820;2304;517514;703;89739;3543;2051;1895;3352;5183;7446;3835;1515;4626;12779;6842;8114;5996;19626;1408;39529;6683;926;3620;3020;2897;3111;2826;1342;1928;2685;104697;3303;3309;2885;8079;2106;2186;1683;2838;1779;1999;1727;1244;20918998;4701;675;13552;10790;5818;2404;843;606;83370;2983;698;2294;2527;603;1005;2301;2973;7540;2455;1233;1440;3886;32955;5048;3377;1824;1026;1736;77332;111403;347916;74939;15476;470915;716470;12033;18084;3187;79554;18783;3093;4771;2012;45982;43365;5782;3967;5035;31748;3020;2420;10262;3195;5194;3093
625;NH24;1870;117;BXD87;HF;F;512;3;1127;1043;906;6274;73020;41216;17701;6526;11710;798;12934;11901;15982;47313;2532;35130;12040;1899;731;47564;56328;6714;8333;4417;119448;238367;3833;21615;4461;8364;45583;5562;128599;4489;113028;267500;2884;3576;6485;4355;359264;23967;14136;2136;65721;258369;1559;1184438;943;2128;1397;8042;16734;592;137202;3014;8107;42186;3792;7848;760;2415;9142;941;18613;2121;937180;93490;45197;249801;16923;9450;8803;3496;10760;3688;5402;512775;23413;2110;10740;1110;3375;310368;6253;3362;1924;4202;15018;3526;7160;20176;6338;745;5088;2447;3662;3014;2469;1132;5445;80567;2889;7080;15488;852;8247;115624;41342;4350;425974;33394;4724;1828;312576;4983;3427;3581;5985;15489;2800;7019;201911;1881;6613;11262;4180;102907;1614;15222;578579;2612;3110;1121;252053;61679;36180;1839;56676;1250;3519;3835;1964;1063;14079;23854;20374;10698;15172;21551;13633;4631;5520;838;63993;10217;1821;517722;3298;2377;10348;2286;1373;3323;106073;578;1309;1894;10133;15798;7746;1664;4502;3217;9819;4418;5047;14241;3275;3665;10469;2129;81805;1196;3852;3064;6338;1074;686;160291;22936;3382;21408;10249;31269;11284;3348;38111;3734;4008;6365;1670;60849;1860;6312;1412;4551;3549;1940;17811;4152;2298;5249;85929;954;6915;127467;3154;8993;6406;1701;3253;37382;6405;4063;4153033;7346;1655;70182;6325;17228;2815;27764;36841;23178;15713;756;351683;5890128;4994;1836672;29339;11697;6468;18609;3301;2627442;5393;105696;121755;18283;22045;10525;3306;6579;30914;417;1264;796;2188;1786632;3394;492556;333681;4040;6839;3359;2378;1145198;714;237109;4212;1288;1331;3415;50398;9303;3934;1466;8141;34195;3153;6872;9949;67705;1207;57483;4492;996;7379;1854;1922;7549;2288;2085;1369;5471;115539;4137;2553;1948;7862;2916;1577;1676;2400;2217;1860;1431;1450;29467142;26137;655;34180;15889;9184;1378;839;604;141118;4494;564;2471;3532;586;1371;2998;2866;13702;1318;1076;1537;7307;13459;5903;6368;1505;976;1070;42631;86082;295319;97925;26566;665234;913528;11009;25299;3087;71985;27902;1691;5236;2091;72290;68484;4756;2397;32358;32358;2139;1637;8716;5253;5001;2436
